Ngram,Correlation,specificatie
hup vvd [,-0.008439398288,
je met je,-0.008439398288,
in het weekend,-0.008439398288,
mijn vorig tweet,-0.008439398288,
? ik zullen,-0.008439398288,
dat kunnen ook,-0.008439398288,
ze ... #,-0.008439398288,
gaan ik echt,-0.008439398288,
ik nog niet,-0.008439398288,
weten ik wel,-0.008439398288,
"ja , dat",-0.008439398288,
blij dat er,-0.008439398288,
goed ! !,-0.008439398288,
"willen , maar",-0.008439398288,
op naar de,-0.008439398288,
en ik kunnen,-0.008439398288,
ik hebben nog,-0.008439398288,
na een dag,-0.008439398288,
dan hebben je,-0.008439398288,
) http://someurl http://someurl,-0.008439398288,
een paar minuut,-0.008439398288,
maar weer eens,-0.008439398288,
blij met mijn,-0.008439398288,
te wachten op,-0.008439398288,
in den bosch,-0.008439398288,
genieten van een,-0.008439398288,
school ... #,-0.008439398288,
van de goed,-0.008439398288,
ik kunnen niet,-0.008439398288,
hebben je wel,-0.008439398288,
# oranje #,-0.008439398288,
in de stad,-0.008439398288,
daar kunnen je,-0.008439398288,
! [ newline][newline,-0.008439398288,
ik gaan je,-0.008439398288,
te zien dat,-0.008439398288,
je wel !,-0.008439398288,
_ ik hebben,-0.008439398288,
dank voor de,-0.008439398288,
dat weten ik,-0.008439398288,
voor de komen,-0.008439398288,
fijn om te,-0.008439398288,
ver te zoeken,-0.008439398288,
 . #,-0.008439398288,
# pauw #,-0.008439398288,
zijn maar een,-0.008439398288,
. # vvd,-0.008439398288,
werken op de,-0.008439398288,
om te zien,-0.01025379363,
[ newline][newline ],-0.01160940768,
zijn het niet,-0.01193913662,
. http://someurl #,-0.01193913662,
ik hopen dat,-0.01462733107,
op zoek naar,-0.01462733107,
één van de,-0.01462733107,
nog steeds niet,-0.01474368486,
je het weten,-0.01474368486,
zullen ik ook,-0.01474368486,
ik zijn een,-0.01474368486,
de komen week,-0.01474368486,
ik weten niet,-0.01474368486,
. ik zien,-0.01474368486,
echt niet veel,-0.01474368486,
naar de #,-0.01474368486,
zijn er weer,-0.01474368486,
zijn het ?,-0.01474368486,
zijn het #,-0.01474368486,
zijn niet veel,-0.01474368486,
dat ik nu,-0.01474368486,
zijn niet zo,-0.01474368486,
aan het werk,-0.01474368486,
wat zijn je,-0.01474368486,
: http://someurl #,-0.01474368486,
moment dat je,-0.01474368486,
klaar voor de,-0.01474368486,
. ik zijn,-0.01667630554,
", maar dan",-0.01667630554,
een half uur,-0.01667630554,
ik hebben een,-0.01858319665,
", ik zijn",-0.01858319665,
ik hebben de,-0.01983867052,
", ik hebben",-0.01983867052,
 /via @nos,-0.01983867052,
benieuwd naar de,-0.01983867052,
wel een beetje,-0.01983867052,
zijn een lekker,-0.02102217091,
het helpen .,-0.02102217091,
👍 🏻 👍,-0.02102217091,
zo hebben je,-0.02102217091,
🏻 👍 🏻,-0.02102217091,
op de #,-0.02220685716,
? # dtv,-0.02220685716,
! http://someurl #,-0.02418348839,
. ( @,-0.02418348839,
! ! http://someurl,-0.02462817634,
met je eens,-0.02574968874,
