Ngram,Correlation,specification
een drukkerij,0.02618118262,
! top,0.02618118262,
leven hebben,0.02618118262,
http://someurl (,0.02618118262,
uit mijn,0.02618118262,
yes ik,0.02618118262,
# breda,0.02618118262,
""" nou",0.02618118262,
te afwachten,0.02618118262,
ik dus,0.02618118262,
schept vertrouwen,0.02618118262,
nu hebben,0.02618118262,
leuk zeggen,0.02618118262,
niks te,0.02618118262,
zullen dat,0.02618118262,
veilig in,0.02618118262,
goe bezig,0.02618118262,
wilders hebben,0.02618118262,
verkopen .,0.02618118262,
inderdaad een,0.02618118262,
lekker weertje,0.02618118262,
. zeer,0.02618118262,
dit land,0.02618118262,
volgens de,0.02618118262,
. vooral,0.02618118262,
lekker naar,0.02618118262,
zitten voor,0.02618118262,
° c,0.02618118262,
", echt",0.02618118262,
werken ...,0.02618118262,
school tot,0.02618118262,
sterk en,0.02618118262,
vooral omdat,0.02618118262,
daar op,0.02618118262,
helft van,0.02618118262,
klinken ook,0.02618118262,
me af,0.02618118262,
de regen,0.02618118262,
die werken,0.02618118262,
de helft,0.02618118262,
bevolking .,0.02618118262,
iets met,0.02618118262,
ze te,0.02618118262,
da ge,0.02618118262,
. dat,0.02580034888,
van de,0.02556511928,
nieuw #,0.02537605001,
goed in,0.02537605001,
zijn nu,0.02537605001,
om in,0.02537605001,
# nosjournaal,0.02537605001,
op twitter,0.02537605001,
lekker op,0.02537605001,
om te,0.02518594902,
dat dat,0.02479391869,
nog geen,0.02479391869,
nu nog,0.02479391869,
en die,0.02479391869,
geen probleem,0.02479391869,
horen .,0.02479391869,
. met,0.02479391869,
blij mee,0.02479391869,
in .,0.02479391869,
"wauw ,",0.02479391869,
... !,0.02479391869,
zien er,0.02479391869,
zijn jij,0.02479391869,
die van,0.02479391869,
zo blij,0.02479391869,
wat leuk,0.02479391869,
want dat,0.02479391869,
de weg,0.02479391869,
dat hebben,0.02479391869,
totaal niet,0.02479391869,
. ja,0.02479391869,
ik daar,0.02479391869,
te worden,0.02479391869,
weer zo'n,0.02479391869,
http://someurl ...,0.02479391869,
de mens,0.02479391869,
de lucht,0.02479391869,
nu gaan,0.02479391869,
het doen,0.02479391869,
 van,0.02479391869,
dan de,0.02479391869,
de slag,0.02479391869,
net zo,0.02479391869,
op je,0.02479391869,
", zo'n",0.02479391869,
als het,0.02466176872,
te zijn,0.02453573274,
 .,0.02453573274,
je ook,0.02453573274,
ik me,0.02303384873,
mooi weer,0.02303384873,
. dus,0.02303384873,
weer .,0.02303384873,
zijn toch,0.02303384873,
zijn ...,0.02303384873,
ik er,0.02303384873,
van die,0.02301862043,
maar een,0.02301862043,
zijn al,0.02301862043,
denken dat,0.02264703868,
doen .,0.02176587439,
al die,0.02166403746,
mee .,0.02156512137,
een stuk,0.02156512137,
de vs,0.02156512137,
dat niet,0.02156512137,
dag van,0.02156512137,
nog maar,0.02156512137,
dan nog,0.02156512137,
ik houden,0.02156512137,
de bus,0.02156512137,
# ikvertrek,0.02156512137,
ik kijken,0.02156512137,
er echt,0.02156512137,
krijgen .,0.02156512137,
oh oh,0.02137444461,
mijn god,0.02137444461,
ik totaal,0.02137444461,
""" lachen",0.02137444461,
niet willen,0.02137444461,
echt #,0.02137444461,
albert heijn,0.02137444461,
tegen de,0.02137444461,
# vvd,0.02126200279,
te gaan,0.02126200279,
hebben die,0.02039585195,
... [,0.02039585195,
ik zo,0.02039585195,
start van,0.02039585195,
mijn laptop,0.02039585195,
op hun,0.02039585195,
leuk #,0.02039585195,
totaal geen,0.02039585195,
om half,0.02039585195,
toch zo,0.02039585195,
. nou,0.02039585195,
ik ze,0.02039585195,
", gaan",0.02039585195,
... dat,0.02039585195,
zo te,0.02039585195,
volgen keer,0.02039585195,
daar zitten,0.02039585195,
dit soort,0.02039585195,
dit weer,0.02039585195,
he ?,0.02039585195,
hebben me,0.02039585195,
school !,0.02039585195,
8 uur,0.02039585195,
we in,0.02039585195,
echt zo,0.02039585195,
morgen om,0.02039585195,
hebben weer,0.02039585195,
er in,0.02039585195,
hoor !,0.02039585195,
om het,0.02039585195,
goed idee,0.02039585195,
dus als,0.02039585195,
echt vet,0.02039585195,
bezig .,0.02039585195,
huis .,0.02039585195,
ze wel,0.02039585195,
@ns_online #,0.02039585195,
daar hebben,0.02039585195,
blij zijn,0.02039585195,
"fijn ,",0.02039585195,
echt nodig,0.02039585195,
feest !,0.02039585195,
voor .,0.02039585195,
de app,0.02039585195,
man die,0.02039585195,
niet werken,0.02039585195,
worden door,0.02039585195,
om met,0.02039585195,
de gemeente,0.02039585195,
echt super,0.02039585195,
werken niet,0.02039585195,
nu al,0.02021643862,
die #,0.01986271718,
van een,0.01980331258,
op .,0.01937161343,
ook al,0.01937161343,
als een,0.01937161343,
zijn ze,0.01937161343,
! !,0.01928588698,
van mijn,0.01872249599,
bij #,0.01777095764,
zeggen .,0.01775975272,
voor mijn,0.01775975272,
leuk !,0.01775975272,
een goed,0.01770729522,
zeggen ...,0.01733571976,
het in,0.01733571976,
tijd .,0.01733571976,
goed doen,0.01733571976,
veel goed,0.01733571976,
ik krijgen,0.01733571976,
tijd om,0.01733571976,
worden ...,0.01733571976,
de vakantie,0.01733571976,
je toch,0.01733571976,
", nog",0.01733571976,
nu ?,0.01733571976,
met deze,0.01733571976,
naar uit,0.01733571976,
worden weer,0.01733571976,
zijn we,0.01733571976,
dit .,0.01733571976,
kunnen .,0.01733571976,
# charliehebdo,0.01733571976,
 #,0.01733571976,
", ook",0.01733571976,
", kunnen",0.01733571976,
.. #,0.01726000695,
met een,0.01655714661,
maken .,0.01651270308,
weer eens,0.01651270308,
", want",0.01651270308,
heel goed,0.01651270308,
de nieuw,0.01651270308,
zijn !,0.01626331979,
kunnen ik,0.01626331979,
? ?,0.01626331979,
in een,0.01594571229,
hebben er,0.01551207215,
van je,0.01551207215,
gelukkig hebben,0.01537520474,
er nog,0.01537520474,
naar het,0.01537520474,
de tijd,0.01537520474,
# pvda,0.01537520474,
met zijn,0.01537520474,
hebben echt,0.01537520474,
weg naar,0.01537520474,
nodig hebben,0.01537520474,
je er,0.01537520474,
", fijn",0.01524198707,
. geweldig,0.01524198707,
je zus,0.01524198707,
# ajagro,0.01524198707,
ik aan,0.01524198707,
den haag,0.01524198707,
aan tafel,0.01524198707,
# wnl,0.01524198707,
of niet,0.01524198707,
zitten en,0.01524198707,
de ochtend,0.01524198707,
in parijs,0.01524198707,
nu echt,0.01524198707,
"een """,0.01524198707,
# politie,0.01524198707,
de radio,0.01524198707,
daar ook,0.01524198707,
te veel,0.01524198707,
# gezellig,0.01524198707,
me toch,0.01524198707,
school vandaag,0.01524198707,
zijn ziek,0.01524198707,
t zijn,0.01524198707,
# isis,0.01524198707,
je echt,0.01524198707,
altijd wel,0.01524198707,
je wat,0.01524198707,
"die """,0.01524198707,
weten .,0.01524198707,
wel veel,0.01524198707,
 de,0.01524198707,
", voelen",0.01524198707,
medelijden met,0.01524198707,
zitten ik,0.01524198707,
me een,0.01524198707,
"weer ,",0.01524198707,
doen voor,0.01524198707,
. sterk,0.01524198707,
tussen de,0.01524198707,
laat zijn,0.01524198707,
goed plan,0.01524198707,
de examen,0.01524198707,
met hun,0.01524198707,
", bedanken",0.01524198707,
"toch ,",0.01524198707,
super goed,0.01524198707,
het verkeer,0.01524198707,
straks weer,0.01524198707,
"ach ,",0.01524198707,
een kwartier,0.01524198707,
die moeten,0.01524198707,
de tandarts,0.01524198707,
vast wel,0.01524198707,
wel fijn,0.01524198707,
. want,0.01524198707,
na al,0.01524198707,
je ze,0.01524198707,
dat lijken,0.01524198707,
dat die,0.01524198707,
 zijn,0.01524198707,
de vrij,0.01524198707,
ja en,0.01524198707,
belangrijk dan,0.01524198707,
bedankt voor,0.01524198707,
en ander,0.01524198707,
en gaan,0.01524198707,
# lt,0.01524198707,
een boek,0.01524198707,
zo hard,0.01524198707,
gaan doen,0.01524198707,
eens op,0.01524198707,
de politiek,0.01524198707,
# opsporingverzocht,0.01524198707,
staan in,0.01524198707,
goed nieuws,0.01524198707,
maken het,0.01524198707,
worden steeds,0.01524198707,
een prachtig,0.01524198707,
. hebben,0.01524198707,
vvd zijn,0.01524198707,
vragen om,0.01524198707,
lang leven,0.01524198707,
trein naar,0.01524198707,
weer aan,0.01524198707,
zijn hier,0.01524198707,
_ _,0.01524198707,
! goed,0.01524198707,
via de,0.01524198707,
""" """,0.01524198707,
zijn ',0.01524198707,
", da",0.01524198707,
het feest,0.01524198707,
werken met,0.01524198707,
ik lezen,0.01524198707,
. waar,0.01524198707,
een echt,0.01524198707,
. ',0.01524198707,
bezoek aan,0.01524198707,
) en,0.01524198707,
een auto,0.01524198707,
hoor #,0.01524198707,
om die,0.01524198707,
super leuk,0.01524198707,
niet mee,0.01524198707,
zitten we,0.01524198707,
heel leuk,0.01524198707,
een fijn,0.01524198707,
mijn werk,0.01524198707,
je hoofd,0.01524198707,
je dit,0.01524198707,
niet ver,0.01524198707,
gaan toch,0.01524198707,
! een,0.01524198707,
vinden #,0.01524198707,
waarom moeten,0.01524198707,
$ :,0.01511231719,
️ ☺,0.01511231719,
hey hey,0.01511231719,
] switched,0.01511231719,
tot 11:00[newline][newline,0.01511231719,
werk bij,0.01511231719,
leuke dag,0.01511231719,
heijn van,0.01511231719,
] werk,0.01511231719,
11:00[newline][newline ],0.01511231719,
huiswerk van,0.01511231719,
] leuke,0.01511231719,
switched [,0.01511231719,
] huiswerk,0.01511231719,
de albert,0.01511231719,
en dat,0.01468703721,
in de,0.01410965184,
moeten je,0.01399230197,
goed voor,0.01398570755,
bij het,0.01398570755,
. ook,0.01398570755,
trots op,0.01398570755,
en je,0.01398570755,
op zijn,0.01398570755,
een heerlijk,0.01398570755,
", het",0.01339737397,
zijn ik,0.01313058677,
", een",0.01293704909,
uit de,0.01293704909,
maar de,0.01293704909,
! [,0.01293704909,
en ik,0.01288087728,
zien ik,0.01254956692,
ik dit,0.01254956692,
die ik,0.01254956692,
goed te,0.01254956692,
en kunnen,0.01254956692,
! de,0.01254956692,
# ziggo,0.01254956692,
vorig tweet,0.01254956692,
daar gaan,0.01254956692,
weer om,0.01254956692,
zullen de,0.01254956692,
weer zijn,0.01254956692,
want dan,0.01254956692,
wel lekker,0.01254956692,
hebben en,0.01254956692,
worden je,0.01254956692,
wij zijn,0.01254956692,
hebben op,0.01254956692,
op tv,0.01254956692,
de man,0.01254956692,
hoor ...,0.01254956692,
een avond,0.01254956692,
niet #,0.01254956692,
als ze,0.01254956692,
echt veel,0.01254956692,
wanneer je,0.01254956692,
weten dat,0.01254956692,
zo lekker,0.01254956692,
op weg,0.01254956692,
uit naar,0.01254956692,
er bij,0.01254956692,
laat .,0.01254956692,
om je,0.01254956692,
die niet,0.01254956692,
de bank,0.01254956692,
... wat,0.01254956692,
uur in,0.01254956692,
gaan !,0.01254956692,
... ik,0.01254956692,
omdat het,0.01254956692,
kijken er,0.01254956692,
via @telegraaf,0.01254956692,
ik die,0.01254956692,
waar de,0.01254956692,
", waar",0.01254956692,
het !,0.01254956692,
", ja",0.01254956692,
hebben in,0.01254956692,
te wachten,0.01254956692,
goed .,0.01254956692,
we zullen,0.01254956692,
krijgen je,0.01254956692,
in #,0.01230286903,
we zijn,0.01211086095,
te doen,0.01211086095,
ook nog,0.01211086095,
zijn een,0.01206640633,
worden .,0.01143925369,
met die,0.01143925369,
weer in,0.01095881637,
zullen je,0.01095881637,
en zijn,0.01095881637,
zullen wel,0.01095881637,
het jaar,0.01095881637,
. dit,0.01095881637,
nu maar,0.01095881637,
een week,0.01095881637,
in deze,0.01095881637,
", zo",0.01095881637,
en daarna,0.01095881637,
[newline ],0.01095881637,
gaan de,0.01095881637,
de heel,0.01088014657,
nog een,0.01040589191,
dat het,0.01031199256,
de #,0.01013372837,
ik zullen,0.00999748115,
over een,0.009882910912,
. een,0.009882910912,
zijn zijn,0.009882910912,
dan een,0.009882910912,
voor ons,0.009882910912,
# nos,0.009882910912,
onder de,0.009882910912,
! en,0.009882910912,
kunnen niet,0.009882910912,
daar zijn,0.009882910912,
zijn als,0.009882910912,
dus .,0.009882910912,
goed !,0.009882910912,
en een,0.009641360641,
dat ze,0.009641360641,
. het,0.009641360641,
als je,0.009410888848,
te laat,0.009095841803,
gaan het,0.009095841803,
# widm,0.009095841803,
zijn met,0.009095841803,
blij dat,0.009095841803,
je de,0.009095841803,
ik niet,0.009095841803,
zijn voor,0.009095841803,
met het,0.009095841803,
gaan we,0.009095841803,
ik denken,0.009048618104,
mooi op,0.008870892166,
veel om,0.008870892166,
mijn vrij,0.008870892166,
! voor,0.008870892166,
 [,0.008870892166,
mijn dag,0.008870892166,
schrijven .,0.008870892166,
] en,0.008870892166,
. van,0.008870892166,
niet wachten,0.008870892166,
die hebben,0.008870892166,
het je,0.008870892166,
"... """,0.008870892166,
inderdaad !,0.008870892166,
van ',0.008870892166,
proberen te,0.008870892166,
gezellig dag,0.008870892166,
"mens ,",0.008870892166,
"slapen ,",0.008870892166,
# delijn,0.008870892166,
goed mee,0.008870892166,
dus ik,0.008870892166,
😭 #,0.008870892166,
ja zijn,0.008870892166,
mij .,0.008870892166,
dag #,0.008870892166,
", denken",0.008870892166,
denken je,0.008870892166,
dan denken,0.008870892166,
want je,0.008870892166,
willen een,0.008870892166,
er veel,0.008870892166,
week al,0.008870892166,
de top,0.008870892166,
. logisch,0.008870892166,
kunnen nog,0.008870892166,
met 4,0.008870892166,
gaan nu,0.008870892166,
in europa,0.008870892166,
zijn vandaag,0.008870892166,
zijn nou,0.008870892166,
mogen het,0.008870892166,
dit met,0.008870892166,
", eerst",0.008870892166,
de jong,0.008870892166,
? dat,0.008870892166,
# buitenhof,0.008870892166,
de winter,0.008870892166,
# arena,0.008870892166,
. straks,0.008870892166,
opstaan met,0.008870892166,
opening van,0.008870892166,
zijn vergeten,0.008870892166,
heb ook,0.008870892166,
op 3,0.008870892166,
# pvv,0.008870892166,
krijgen !,0.008870892166,
mijn laat,0.008870892166,
. nee,0.008870892166,
zijn fijn,0.008870892166,
door #,0.008870892166,
hebben dus,0.008870892166,
lief zijn,0.008870892166,
we toch,0.008870892166,
10 uur,0.008870892166,
zullen hebben,0.008870892166,
komen we,0.008870892166,
ik voor,0.008870892166,
lijken mij,0.008870892166,
je net,0.008870892166,
op rij,0.008870892166,
week op,0.008870892166,
leuk .,0.008870892166,
wel makkelijk,0.008870892166,
# 1vandaag,0.008870892166,
de opening,0.008870892166,
die leuk,0.008870892166,
te weinig,0.008870892166,
. bedankt,0.008870892166,
journaal #,0.008870892166,
# journaal,0.008870892166,
nos #,0.008870892166,
los !,0.008870892166,
wel de,0.008870892166,
winnen .,0.008870892166,
ze !,0.008870892166,
recht op,0.008870892166,
altijd een,0.008870892166,
scheidsrechter !,0.008870892166,
heel wereld,0.008870892166,
:-) rt,0.008870892166,
hebben voor,0.008870892166,
doen ik,0.008870892166,
echt geweldig,0.008870892166,
tegen een,0.008870892166,
# jinek,0.008870892166,
