Ngram,Correlation,specification
muis,-0.01193913662,
opruimen,-0.01193913662,
jan,-0.01193913662,
aanwezig,-0.01193913662,
naast,-0.01193913662,
juni,-0.01193913662,
markt,-0.01193913662,
2014,-0.01193913662,
account,-0.01193913662,
koken,-0.01193913662,
huilen,-0.01193913662,
rapport,-0.01193913662,
as,-0.01193913662,
voordeel,-0.01193913662,
betekenen,-0.01193913662,
vandaan,-0.01193913662,
ouder,-0.01193913662,
cijfer,-0.01193913662,
kennis,-0.01193913662,
vliegen,-0.01193913662,
verliezen,-0.01193913662,
kast,-0.01193913662,
nen,-0.01193913662,
@demorg,-0.01193913662,
inspiratie,-0.01193913662,
jaa,-0.01193913662,
ruimte,-0.01193913662,
retweet,-0.01193913662,
volgens,-0.01197605687,
spreken,-0.01203781201,
verkeerd,-0.01203781201,
v,-0.01203781201,
klein,-0.01203781201,
telefoon,-0.01203781201,
den,-0.01203781201,
winnen,-0.01280928435,
boek,-0.01287605537,
druk,-0.01287605537,
serieus,-0.01287605537,
één,-0.0129738842,
koud,-0.01315871598,
m,-0.01315871598,
sommig,-0.01315871598,
😩,-0.01315871598,
lijken,-0.01328702293,
eens,-0.01343051205,
vrouw,-0.01381530635,
nooit,-0.01387815094,
hij,-0.01440283492,
geld,-0.014403993,
eindelijk,-0.014403993,
amsterdam,-0.01451412097,
vaak,-0.01451412097,
moeilijk,-0.01451412097,
hond,-0.01462733107,
raar,-0.01462733107,
zit,-0.01462733107,
vier,-0.01474368486,
dier,-0.01474368486,
vers,-0.01474368486,
museum,-0.01474368486,
peter,-0.01474368486,
danku,-0.01474368486,
eigen,-0.01506587342,
n,-0.01506587342,
hoop,-0.01557941555,
:(,-0.01557941555,
:-),-0.01565798599,
vorm,-0.01667630554,
lid,-0.01667630554,
gebruik,-0.01667630554,
raam,-0.01667630554,
beleid,-0.01667630554,
shit,-0.01667630554,
tas,-0.01667630554,
station,-0.01667630554,
lef,-0.01667630554,
uitleggen,-0.01667630554,
bijzonder,-0.01667630554,
it,-0.01667630554,
@delijn,-0.01667630554,
goodnight,-0.01667630554,
positief,-0.01667630554,
dr,-0.01667630554,
😅,-0.01667630554,
hoek,-0.01667630554,
trainer,-0.01667630554,
😕,-0.01667630554,
info,-0.01667630554,
elk,-0.01668309773,
staan,-0.01674059506,
niemand,-0.01689589096,
2/2,-0.01689589096,
😏,-0.01689589096,
genieten,-0.01761128395,
maand,-0.01769371552,
toen,-0.01779214226,
iemand,-0.01779214226,
kunnen,-0.01843248221,
ander,-0.018507557,
goal,-0.01858319665,
moe,-0.01858319665,
da's,-0.01858319665,
onderweg,-0.01858319665,
liever,-0.01858319665,
to,-0.01858319665,
wa,-0.01858319665,
binnenkort,-0.01858319665,
aantal,-0.01858319665,
steeds,-0.01887093318,
bezoek,-0.01889656397,
werk,-0.01891997572,
lang,-0.0193687756,
kids,-0.01983867052,
@snebbert,-0.01983867052,
project,-0.01983867052,
henk,-0.01983867052,
fc,-0.01983867052,
😃,-0.01983867052,
meenemen,-0.01983867052,
opvallen,-0.01983867052,
kijkje,-0.01983867052,
kanaal,-0.01983867052,
daad,-0.01983867052,
toevoegen,-0.01983867052,
😔,-0.01983867052,
plaat,-0.01983867052,
duizend,-0.01983867052,
dytg,-0.01983867052,
alvast,-0.01983867052,
gwn,-0.01983867052,
sport,-0.01983867052,
loop,-0.01983867052,
17,-0.01983867052,
lui,-0.01983867052,
14,-0.01983867052,
al.,-0.01983867052,
♡,-0.01983867052,
scooter,-0.01983867052,
iets,-0.02000118395,
normaal,-0.0203627657,
halen,-0.02041533142,
lief,-0.02070714869,
zondag,-0.02070714869,
voor,-0.02084718442,
oplossing,-0.02086009863,
sorry,-0.02086009863,
beurs,-0.02086009863,
competitie,-0.02086009863,
baan,-0.02086009863,
club,-0.02086009863,
inmiddels,-0.02086009863,
groningen,-0.02086009863,
leeg,-0.02086009863,
hahahaha,-0.02086009863,
geval,-0.02086009863,
helemaal,-0.02088072025,
komen,-0.02097032501,
🏻,-0.02102217091,
vh,-0.02102217091,
bijna,-0.0220674471,
best,-0.0220674471,
vanavond,-0.0220674471,
weinig,-0.02214856641,
opnieuw,-0.02220685716,
zoek,-0.02220685716,
kom,-0.02220685716,
kwijt,-0.02220685716,
zojuist,-0.02220685716,
tip,-0.02220685716,
vandaag,-0.02250363092,
veel,-0.02272155565,
je,-0.02320157096,
bed,-0.02357390881,
alweer,-0.02360244521,
🎉,-0.02360244521,
gij,-0.02360244521,
mij,-0.0237761987,
tijdens,-0.02392674616,
brood,-0.02418348839,
zn,-0.02418348839,
vernieuwen,-0.02418348839,
wk2014,-0.02418348839,
blauw,-0.02418348839,
✋,-0.02418348839,
💘,-0.02418348839,
vriendin,-0.02418348839,
talent,-0.02418348839,
ontstaan,-0.02418348839,
online,-0.02418348839,
zou,-0.02418348839,
leerkracht,-0.02418348839,
😘,-0.02418348839,
check,-0.02418348839,
camera,-0.02418348839,
verhaal,-0.02418348839,
bekijken,-0.02418348839,
wellicht,-0.02418348839,
arnhem,-0.02418348839,
hem,-0.02444070963,
liefde,-0.02462817634,
my,-0.02462817634,
😄,-0.02462817634,
🙌,-0.02462817634,
belgië,-0.02462817634,
real,-0.02462817634,
kort,-0.02462817634,
brussel,-0.02497695783,
x,-0.02497695783,
hoofd,-0.02497695783,
gisteren,-0.0250382577,
zoeken,-0.0250382577,
&,-0.02506312683,
foto,-0.02538674606,
team,-0.02555980188,
gratis,-0.02555980188,
@vodafonenl,-0.02555980188,
@rojinxx,-0.02574968874,
balen,-0.02574968874,
wel,-0.02590889914,
succes,-0.02631023405,
